condition,drugName,rating,sentiment,usefulCount,drug_popularity,recommendation_score
0</span> users found this comment helpful.,Aricept,2.0,-0.7,0.0,14.0,0.8000000000000003
0</span> users found this comment helpful.,Atripla,8.0,0.0,0.0,68.0,10.0
0</span> users found this comment helpful.,Aviane,4.0,-0.0421212121212121,0.0,249.0,26.415757575757578
0</span> users found this comment helpful.,Bepreve,3.0,-0.039999999999999945,0.0,13.0,2.4200000000000004
0</span> users found this comment helpful.,Blisovi Fe 1 / 20,2.0,-0.078125,0.0,50.0,5.64375
0</span> users found this comment helpful.,Chantix,8.5,-0.11761363636363636,0.0,637.0,66.86477272727274
0</span> users found this comment helpful.,Contrave,1.0,-0.8,0.0,920.0,90.8
0</span> users found this comment helpful.,Cryselle,4.0,-0.18,0.0,94.0,10.64
0</span> users found this comment helpful.,Depo-Provera,7.857142857142857,0.16305000472411188,0.0,882.0,91.66895715230537
0</span> users found this comment helpful.,Drysol,10.0,0.035625000000000004,0.0,150.0,19.07125
0</span> users found this comment helpful.,Gadavist,1.0,-0.15669642857142854,0.0,2.0,0.28660714285714295
0</span> users found this comment helpful.,GoLYTELY,8.0,0.08307291666666666,0.0,19.0,5.266145833333334
0</span> users found this comment helpful.,Hypercare,9.666666666666666,0.18740699404761907,0.0,158.0,20.041480654761905
0</span> users found this comment helpful.,Implanon,7.4,0.12642358567358566,0.0,1102.0,113.41284717134718
0</span> users found this comment helpful.,Jolessa,6.0,-0.010000000000000009,0.0,80.0,10.38
0</span> users found this comment helpful.,Lexapro,8.0,0.21703703703703706,0.0,952.0,98.83407407407408
0</span> users found this comment helpful.,LoSeasonique,6.0,0.16111111111111112,0.0,73.0,10.022222222222224
0</span> users found this comment helpful.,Loestrin 24 Fe,6.380952380952381,0.11261577113362829,0.0,486.0,51.37761249464821
0</span> users found this comment helpful.,Loestrin Fe 1 / 20,2.5,0.02777777777777778,0.0,8.0,1.8555555555555556
0</span> users found this comment helpful.,Microgestin Fe 1 / 20,5.333333333333333,0.004576210826210829,0.0,392.0,41.34248575498576
0</span> users found this comment helpful.,Mirena,6.142857142857143,-0.02951788291074005,0.0,1242.0,126.59810709132138
0</span> users found this comment helpful.,Nortrel 1 / 35,2.0,-0.18111111111111108,0.0,16.0,2.037777777777778
0</span> users found this comment helpful.,NuvaRing,4.0,0.16041666666666668,0.0,622.0,64.12083333333334
0</span> users found this comment helpful.,Ocella,9.0,0.07953703703703703,0.0,95.0,13.259074074074075
0</span> users found this comment helpful.,Ogestrel-28,10.0,0.08444444444444447,0.0,5.0,4.668888888888889
0</span> users found this comment helpful.,Ortho Tri-Cyclen Lo,7.666666666666667,0.04951388888888889,0.0,215.0,24.665694444444444
0</span> users found this comment helpful.,Ortho-Cept,7.0,-0.13346153846153844,0.0,12.0,3.7330769230769234
0</span> users found this comment helpful.,Portia,2.0,0.0030864197530864274,0.0,52.0,6.006172839506173
0</span> users found this comment helpful.,Previfem,1.0,-0.029722222222222216,0.0,20.0,2.3405555555555555
0</span> users found this comment helpful.,Relpax,10.0,0.04166666666666667,0.0,95.0,13.583333333333332
0</span> users found this comment helpful.,Rezira,9.0,0.5,0.0,4.0,5.0
0</span> users found this comment helpful.,Safyral,2.0,0.13888888888888892,0.0,47.0,5.777777777777779
0</span> users found this comment helpful.,Seasonique,4.0,0.016399572649572654,0.0,220.0,23.632799145299145
0</span> users found this comment helpful.,Sprintec,5.2,-0.03541919191919191,0.0,509.0,52.90916161616162
0</span> users found this comment helpful.,Stribild,10.0,0.09999999999999999,0.0,61.0,10.3
0</span> users found this comment helpful.,Suboxone,10.0,0.0,0.0,355.0,39.5
0</span> users found this comment helpful.,Treximet,8.0,-0.13030303030303025,0.0,58.0,8.73939393939394
0</span> users found this comment helpful.,Tri-Sprintec,3.6,-0.0256804379070004,0.0,392.0,40.588639124186
0</span> users found this comment helpful.,TriNessa,3.5,0.12182539682539681,0.0,277.0,29.343650793650795
0</span> users found this comment helpful.,Xyzal,9.0,1.0,0.0,112.0,16.8
0</span> users found this comment helpful.,Yaz,1.0,0.06111111111111113,0.0,344.0,34.922222222222224
0</span> users found this comment helpful.,femhrt,1.0,-0.4166666666666667,0.0,3.0,-0.1333333333333333
10</span> users found this comment helpful.,Adderall,6.0,0.13350340136054423,10.0,201.0,24.76700680272109
10</span> users found this comment helpful.,Adderall XR,8.0,0.0,10.0,114.0,16.6
10</span> users found this comment helpful.,Advair Diskus,7.0,-0.016666666666666677,10.0,61.0,10.866666666666667
10</span> users found this comment helpful.,Allegra-D 24 Hour,9.0,0.07552083333333333,10.0,11.0,6.851041666666667
10</span> users found this comment helpful.,Ambien,9.0,-0.07735042735042735,10.0,288.0,34.24529914529914
10</span> users found this comment helpful.,Amitiza,3.0,0.10909090909090909,10.0,140.0,17.418181818181818
10</span> users found this comment helpful.,Amnesteem,9.0,0.0015277777777777724,10.0,22.0,7.803055555555556
10</span> users found this comment helpful.,Astelin,10.0,0.42,10.0,9.0,7.74
10</span> users found this comment helpful.,Benicar HCT,9.0,0.175,10.0,18.0,7.75
10</span> users found this comment helpful.,Beyaz,3.0,0.0881542699724518,10.0,94.0,12.776308539944903
